seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13281,733209,15424,home,0,4-3-3,1,1,13,235327,Matheus Nogueira,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,21,257010,Bryan,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,1,94,218935,Itaro Patric,Left Back,3,0,0,-1,,,,1,250761,16,250761.0,3844.0,65',2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,1,28,205011,Leandro Vilela,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,27,184446,Ramón Martínez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,3,241221,Yefferson Quintana,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,96,220632,Matheus Vargas,Right Midfielder,7,0,0,-1,,,,1,318156,8,318156.0,2700.0,45',2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,17,301675,Pedro Delvalle,Left Midfielder,8,0,0,-1,,,,1,287726,24,287726.0,3708.0,62',2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,1,11,161871,Nicolás,Forward,9,0,0,-1,,,,1,82670,9,82670.0,3690.0,62',2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,1,77,198111,Rossi,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,1,20,283678,Marlon,Left Forward,11,0,0,-1,,,,1,172310,10,172310.0,4542.0,76',2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,0,10,172310,Giovanni Piccolomo,Substitute,0,1,283678,20,283678.0,4542.0,76',0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,0,31,201166,Iago Hass Ferreira,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,0,9,82670,Jorge Benítez,Substitute,0,1,161871,11,161871.0,3690.0,62',0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,0,15,252543,Dudu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,0,16,250761,Reverson,Substitute,0,1,218935,94,218935.0,3844.0,65',0,0,-1,,,,2025-04-29 04:57:48
13281,733209,15424,home,0,4-3-3,1,0,32,270891,Matías Cavalleri,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,0,24,287726,Benjamín Borasi,Substitute,0,1,301675,17,301675.0,3708.0,62',0,0,-1,,,,2025-04-05 08:30:15
13281,733209,15424,home,0,4-3-3,1,0,4,288983,Luan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-29 04:57:48
